 1000000	  2000  	 1.000000000000000000e+01 	5.000000000000000104e-03 	 2 	 5.928405879903018558e+02 
 2000000	  1000  	 7.000000000000000000e+00 	7.000000000000000146e-03 	 2 	 7.815556934246671972e+01 
 3000000	  666  	 7.000000000000000000e+00 	1.051051051051051129e-02 	 2 	 1.106992204552668682e+03 
 4000000	  500  	 7.000000000000000000e+00 	1.400000000000000029e-02 	 2 	 5.674046366474428282e+00 
 5000000	  400  	 6.000000000000000000e+00 	1.499999999999999944e-02 	 2 	 -3.568097575774708048e+02 
 6000000	  333  	 6.000000000000000000e+00 	1.801801801801801786e-02 	 2 	 -7.577800138347075745e+02 
 7000000	  285  	 6.000000000000000000e+00 	2.105263157894736795e-02 	 2 	 -1.233938162871425988e+02 
 8000000	  250  	 6.000000000000000000e+00 	2.400000000000000050e-02 	 2 	 6.171184475692061824e+02 
 9000000	  222  	 6.000000000000000000e+00 	2.702702702702702853e-02 	 2 	 -1.257055221923877980e+03 
 10000000	  200  	 7.000000000000000000e+00 	3.500000000000000333e-02 	 2 	 -1.190015262924490798e+03 
 11000000	  181  	 6.000000000000000000e+00 	3.314917127071823066e-02 	 2 	 1.725498733122084332e+03 
 12000000	  166  	 8.000000000000000000e+00 	4.819277108433735191e-02 	 2 	 8.916784265679791588e+02 
 13000000	  153  	 7.000000000000000000e+00 	4.575163398692810163e-02 	 2 	 -1.345733748170529680e+03 
 14000000	  142  	 7.000000000000000000e+00 	4.929577464788732072e-02 	 2 	 -1.583644734173508596e+03 
 15000000	  133  	 7.000000000000000000e+00 	5.263157894736841813e-02 	 2 	 -8.508499460554960478e+02 
 16000000	  125  	 7.000000000000000000e+00 	5.600000000000000117e-02 	 2 	 1.912520325798589511e+03 
 17000000	  117  	 7.000000000000000000e+00 	5.982905982905983161e-02 	 2 	 1.715079559840989418e+02 
 18000000	  111  	 7.000000000000000000e+00 	6.306306306306305731e-02 	 2 	 5.985773724671075797e+02 
 19000000	  105  	 7.000000000000000000e+00 	6.666666666666666574e-02 	 2 	 -1.762872984481409503e+03 
 20000000	  100  	 6.000000000000000000e+00 	5.999999999999999778e-02 	 2 	 3.212621873241621415e+02 
 21000000	  95  	 7.000000000000000000e+00 	7.368421052631578261e-02 	 2 	 -2.945497134057391577e+03 
 22000000	  90  	 7.000000000000000000e+00 	7.777777777777777901e-02 	 2 	 -9.100213386258880064e+02 
 23000000	  86  	 7.000000000000000000e+00 	8.139534883720930813e-02 	 2 	 -1.502434565475603222e+03 
 24000000	  83  	 6.000000000000000000e+00 	7.228915662650602092e-02 	 2 	 6.168593706618615215e+03 
 25000000	  80  	 6.000000000000000000e+00 	7.499999999999999722e-02 	 2 	 2.504484679330361814e+03 
 26000000	  76  	 6.000000000000000000e+00 	7.894736842105262720e-02 	 2 	 -2.375164663346310590e+03 
 27000000	  74  	 7.000000000000000000e+00 	9.459459459459459985e-02 	 2 	 2.056105190707706853e+01 
 28000000	  71  	 7.000000000000000000e+00 	9.859154929577464144e-02 	 2 	 -3.318159474572698855e+03 
 29000000	  68  	 6.000000000000000000e+00 	8.823529411764706454e-02 	 2 	 8.758744589643060863e+01 
 30000000	  66  	 6.000000000000000000e+00 	9.090909090909091161e-02 	 2 	 2.044955348010616717e+03 
 31000000	  64  	 6.000000000000000000e+00 	9.375000000000000000e-02 	 2 	 2.304270581840952673e+03 
 32000000	  62  	 7.000000000000000000e+00 	1.129032258064516098e-01 	 2 	 3.264831418743048630e+02 
